kato_raion,регион,район
1032,Абай,Абайский район
1036,Абай,Аягозский район
1038,Абай,Бескарагайский район
1040,Абай,Бородулихинский район
1042,Абай,Жарминский район
1044,Абай,Кокпектинский район
1018,Абай,Курчатов Г.А.
1010,Абай,Семей Г.А.
1046,Абай,Урджарский район
1034,Абай,район Ақсуат
1041,Абай,район Жаңасемей
1045,Абай,район Мақаншы
1132,Акмолинская,Аккольский район
1134,Акмолинская,Аршалынский район
1136,Акмолинская,Астраханский район
1138,Акмолинская,Атбасарский район
1140,Акмолинская,Буландынский район
1170,Акмолинская,Бурабайский район
1144,Акмолинская,Егиндыкольский район
1146,Акмолинская,Ерейментауский район
1148,Акмолинская,Есильский район
1152,Акмолинская,Жаксынский район
1154,Акмолинская,Жаркаинский район
1156,Акмолинская,Зерендинский район
1110,Акмолинская,Кокшетау Г.А.
1160,Акмолинская,Коргалжынский район
1116,Акмолинская,Косшы Г.А.
1164,Акмолинская,Сандыктауский район
1118,Акмолинская,Степногорск Г.А.
1166,Акмолинская,Целиноградский район
1168,Акмолинская,Шортандинский район
1145,Акмолинская,район Биржан сал
1534,Актюбинская,Айтекебийский район
1510,Актюбинская,Актобе Г.А.
1532,Актюбинская,Алгинский район
1536,Актюбинская,Байганинский район
1568,Актюбинская,Иргизский район
1540,Актюбинская,Каргалинский район
1546,Актюбинская,Мартукский район
1548,Актюбинская,Мугалжарский район
1556,Актюбинская,Темирский район
1552,Актюбинская,Уилский район
1542,Актюбинская,Хобдинский район
1560,Актюбинская,Хромтауский район
1564,Актюбинская,Шалкарский район
1918,Алматинская,Алатау Г.А.
1936,Алматинская,Балхашский район
1940,Алматинская,Енбекшиказахский район
1942,Алматинская,Жамбылский район
1968,Алматинская,Илийский район
1952,Алматинская,Карасайский район
1944,Алматинская,Кегенский район
1958,Алматинская,Райымбекский район
1962,Алматинская,Талгарский район
1966,Алматинская,Уйгурский район
1910,Алматинская,Қонаев Г.А.
2310,Атырауская,Атырау Г.А.
2336,Атырауская,Жылыойский район
2340,Атырауская,Индерский район
2342,Атырауская,Исатайский район
2348,Атырауская,Кзылкогинский район
2346,Атырауская,Курмангазинский район
2352,Атырауская,Макатский район
2356,Атырауская,Махамбетский район
6340,ВКО,Глубоковский район
6346,ВКО,Зайсанский район
6354,ВКО,Катон-Карагайский район
6352,ВКО,Курчумский район
6324,ВКО,Риддер Г.А.
6358,ВКО,Тарбагатайский район
6362,ВКО,Уланский район
6310,ВКО,Усть-Каменогорск Г.А.
6368,ВКО,Шемонаихинский район
6348,ВКО,район Алтай
6355,ВКО,район Марқакөл
6356,ВКО,район Самар
6363,ВКО,район Үлкен Нарын
3136,Жамбылская,Байзакский район
3140,Жамбылская,Жамбылский район
3142,Жамбылская,Жуалынский район
3148,Жамбылская,Кордайский район
3154,Жамбылская,Меркенский район
3156,Жамбылская,Мойынкумский район
3160,Жамбылская,Сарысуский район
3162,Жамбылская,Таласский район
3110,Жамбылская,Тараз Г.А.
3166,Жамбылская,Шуский район
3150,Жамбылская,район Турара Рыскулова
3332,Жетысу,Аксуский район
3334,Жетысу,Алакольский район
3336,Жетысу,Ескельдинский район
3344,Жетысу,Каратальский район
3340,Жетысу,Кербулакский район
3342,Жетысу,Коксуский район
3346,Жетысу,Панфиловский район
3348,Жетысу,Сарканский район
3310,Жетысу,Талдыкорган Г.А.
3318,Жетысу,Текели Г.А.
2732,ЗКО,Акжаикский район
2754,ЗКО,Бокейординский район
2736,ЗКО,Бурлинский район
2740,ЗКО,Жангалинский район
2742,ЗКО,Жанибекский район
2748,ЗКО,Казталовский район
2750,ЗКО,Каратобинский район
2758,ЗКО,Сырымский район
2760,ЗКО,Таскалинский район
2762,ЗКО,Теректинский район
2710,ЗКО,Уральск Г.А.
2766,ЗКО,Чингирлауский район
2744,ЗКО,район Бәйтерек
3532,Карагандинская,Абайский район
3536,Карагандинская,Актогайский район
3516,Карагандинская,Балхаш Г.А.
3540,Карагандинская,Бухар-Жырауский район
3510,Карагандинская,Караганда Г.А.
3548,Карагандинская,Каркаралинский район
3552,Карагандинская,Нуринский район
3556,Карагандинская,Осакаровский район
3521,Карагандинская,Приозерск Г.А.
3522,Карагандинская,Сарань Г.А.
3524,Карагандинская,Темиртау Г.А.
3528,Карагандинская,Шахтинск Г.А.
3564,Карагандинская,Шетский район
3932,Костанайская,Алтынсаринский район
3934,Костанайская,Амангельдинский район
3916,Костанайская,Аркалык Г.А.
3936,Костанайская,Аулиекольский район
3940,Костанайская,Денисовский район
3942,Костанайская,Жангельдинский район
3944,Костанайская,Житикаринский район
3948,Костанайская,Камыстинский район
3950,Костанайская,Карабалыкский район
3952,Костанайская,Карасуский район
3910,Костанайская,Костанай Г.А.
3954,Костанайская,Костанайский район
3920,Костанайская,Лисаковск Г.А.
3956,Костанайская,Мендыкаринский район
3958,Костанайская,Наурзумский район
3924,Костанайская,Рудный Г.А.
3962,Костанайская,Сарыкольский район
3966,Костанайская,Узункольский район
3968,Костанайская,Федоровский район
3964,Костанайская,район Беимбета Майлина
4332,Кызылординская,Аральский район
4319,Кызылординская,Байконыр Г.А.
4336,Кызылординская,Жалагашский район
4340,Кызылординская,Жанакорганский район
4344,Кызылординская,Казалинский район
4346,Кызылординская,Кармакшинский район
4310,Кызылординская,Кызылорда Г.А.
4348,Кызылординская,Сырдарьинский район
4352,Кызылординская,Шиелийский район
4710,Мангистауская,Актау Г.А.
4736,Мангистауская,Бейнеуский район
4718,Мангистауская,Жанаозен Г.А.
4742,Мангистауская,Каракиянский район
4746,Мангистауская,Мангистауский район
4750,Мангистауская,Мунайлинский район
4752,Мангистауская,Тупкараганский район
5516,Павлодарская,Аксу Г.А.
5532,Павлодарская,Актогайский район
5536,Павлодарская,Баянаульский район
5542,Павлодарская,Железинский район
5546,Павлодарская,Иртышский район
5556,Павлодарская,Майский район
5510,Павлодарская,Павлодар Г.А.
5560,Павлодарская,Павлодарский район
5564,Павлодарская,Успенский район
5568,Павлодарская,Щербактинский район
5522,Павлодарская,Экибастуз Г.А.
5552,Павлодарская,район Аққулы
5548,Павлодарская,район Тереңкөл
5932,СКО,Айыртауский район
5934,СКО,Акжарский район
5958,СКО,Аккайынский район
5942,СКО,Есильский район
5946,СКО,Жамбылский район
5950,СКО,Кызылжарский район
5952,СКО,Мамлютский район
5910,СКО,Петропавловск Г.А.
5936,СКО,Район Магжана Жумабаева
5956,СКО,Район Шал акына
5966,СКО,Район им.Габита Мусрепова
5960,СКО,Тайыншинский район
5962,СКО,Тимирязевский район
5964,СКО,Уалихановский район
6116,Туркестанская,Арысь Г.А.
6138,Туркестанская,Жетысайский район
6140,Туркестанская,Казыгуртский район
6139,Туркестанская,Келесский район
6120,Туркестанская,Кентау Г.А.
6144,Туркестанская,Мактааральский район
6146,Туркестанская,Ордабасынский район
6148,Туркестанская,Отрарский район
6152,Туркестанская,Сайрамский район
6154,Туркестанская,Сарыагашский район
6156,Туркестанская,Сузакский район
6158,Туркестанская,Толебийский район
6110,Туркестанская,Туркестан Г.А.
6160,Туркестанская,Тюлькубасский район
6164,Туркестанская,Шардаринский район
6136,Туркестанская,район Байдибека
6155,Туркестанская,район Сауран
6236,Улытау,Жанааркинский район
6210,Улытау,Жезказган Г.А.
6218,Улытау,Каражал Г.А.
6220,Улытау,Сатпаев Г.А.
6238,Улытау,Улытауский район
7512,г.Алматы,Алатауский район
7511,г.Алматы,Алмалинский район
7513,г.Алматы,Ауэзовский район
7514,г.Алматы,Бостандыкский район
7515,г.Алматы,Жетысуский район
7517,г.Алматы,Медеуский район
7518,г.Алматы,Наурызбайский район
7519,г.Алматы,Турксибский район
7111,г.Астана,район Алматы
7114,г.Астана,район Байқоңыр
7112,г.Астана,район Есиль
7115,г.Астана,район Нура
7116,г.Астана,район Сарайшык
7113,г.Астана,район Сарыарка
7911,г.Шымкент,Абайский район
7913,г.Шымкент,Аль-Фарабийский район
7915,г.Шымкент,Енбекшинский район
7917,г.Шымкент,Каратауский район
7919,г.Шымкент,Туран район
